"rank","name","score","price","votes","avginterest","biginterest","sales","money"
1,"Totally Accurate Battle Simulator",8.69,19.99,115004,34.73,264,4600160,91957198.4
2,"Dyson Sphere Program",8.65,19.99,73820,10.13,214,2952800,59026472
5,"Rhythm Doctor",8.59,15.99,18762,14.65,239,750480,12000175.2
6,"Cookie Clicker",8.57,4.99,55060,39.42,375,2202400,10989976
8,"Valheim",8.54,19.99,428390,3.71,182,17135600,342540644
11,"It Takes Two",8.51,11.99,143285,20.8,299,5731400,68719486
12,"Clone Drone in the Danger Zone",8.5,19.99,25292,17.5,176,1011680,20223483.2
13,"TOEM",8.49,19.99,4639,14.03,364,185560,3709344.4
14,"Before Your Eyes",8.49,9.99,11404,10.67,107,456160,4557038.4
15,"Tiny Bunny",8.48,12.99,17438,30.13,302,697520,9060784.8
16,"Webbed",8.48,9.99,11639,74.88,448,465560,4650944.4
20,"100 hidden frogs",8.46,0,5355,8.34,134,214200,0
21,"Milk outside a bag of milk outside a bag of milk",8.46,8.99,12654,21.98,367,506160,4550378.4
22,"MADNESS: Project Nexus",8.45,24.99,13084,15.56,192,523360,13078766.4
23,"Cruelty Squad",8.45,19.99,14279,9.37,226,571160,11417488.4
24,"SuchArt: Creative Space",8.45,0,6509,10.79,163,260360,0
27,"Purrgatory",8.44,0,3454,20.7,230,138160,0
33,"Find Love or Die Trying",8.41,0,10716,14.35,190,428640,0
36,"BAD END THEATER",8.41,9.99,6361,5.74,224,254440,2541855.6
37,"Paint the Town Red",8.41,19.99,24306,9.39,353,972240,19435077.6
38,"Townscaper",8.4,5.99,19348,24.21,230,773920,4635780.8
39,"Mini Motorways",8.4,9.99,17863,6.62,165,714520,7138054.8
40,"Alpaca Stacka",8.39,0,5228,7.72,194,209120,0
44,"Snake Force",8.38,0,4962,52.69,364,198480,0
45,"UNBEATABLE [white label]",8.38,0,7458,8.07,149,298320,0
47,"Milo and the Magpies",8.37,1.99,2497,7.72,195,99880,198761.2
48,"LoveChoice",8.36,1.99,25633,6.06,139,1025320,2040386.8
49,"The Forgotten City",8.36,24.99,8569,20.31,210,342760,8565572.4
50,"At Home Alone Final",8.36,0,5563,7.1,221,222520,0
